"ID","Title (任务标题)","Content (详细内容)","Acceptance Criteria (测试验收要求)","Review Requirements (Review要求)","State (状态)","Labels (标签)"
"11","把 runtime 改成只分发控制器事件","修改 `src/chat/runtime.ts`，使其负责收集输入、分发事件、调用 controller，不再私自改正式内容或绕过 gate 执行动作。","1) runtime 对高风险动作必须通过 controller 转移；2) runtime 不再直接批准 patch、模板切换或导出；3) `npm run build && node --test tests/chat-runtime.test.mjs tests/chat-loop.test.mjs` 通过；4) 非法状态下的动作会显式返回 blocked。","强制 review+rewind：搜索 runtime 中直接写 session/正式内容的语句，确认影响边界内全部迁到 controller；确认没有保留旧审批旁路；检查错误路径不会把 blocked 伪装成成功。","已完成","已完成"
"12","抽出统一 review service","在 `src/eval/review-service.ts` 抽出统一审核服务，把 validate、analyze-jd、grammar-check 背后的规则评估与 AI 评估收口到单一入口，统一输出 blocker、warning、suggestion。","1) 新增 `src/eval/review-service.ts`；2) review service 可同时调用事实一致性、内容质量、JD 匹配、排版质量四类检查中的现有能力；3) 输出协议统一严重级与建议结构；4) `npm run build && node --test tests/review-service.test.mjs` 通过。","强制 review+rewind：搜索 `validateByRule|validateByAI|analyzeByRule|grammarByRule` 的直接业务调用点，确认只有 review service 暴露上层入口；确认没有复制第二套 severity 映射。","已完成","已完成"
"13","让 CLI 命令改走统一 review service","修改 `src/commands.ts`，让 `runValidate`、`runAnalyzeJd`、`runGrammarCheck` 都通过 review service；保留现有命令行契约，但删除内部散落的重复门面逻辑。","1) 三个 CLI 命令统一走 review service；2) 输出结构与原命令契约兼容到用户侧，但内部不再分叉；3) `npm run build` 通过；4) `node --test tests/review-service.test.mjs` 覆盖 CLI 调用链并通过。","强制 review+rewind：搜索 commands 中对 evaluation 细节函数的直接调用，确认影响边界内已收口；确认没有新增 compatibility shim；检查帮助信息、参数校验无破坏。","已完成","已完成"
"14","把 chat review 工具接到统一审核链","扩展 `src/chat/tools.ts`，增加真实 review 工具调用，让 chat review 与 CLI review 共享同一服务与同一严重级语义；禁止 chat 层继续只做状态打点。","1) chat review 能返回 blocker/warning/suggestion 与可采纳 patch；2) chat review 不再是空实现或纯 notice；3) `npm run build && node --test tests/chat-agent.test.mjs tests/review-service.test.mjs` 通过；4) chat 与 CLI 对同一输入的 severity 口径一致。","强制 review+rewind：搜索 chat review 相关分支，确认没有旧的假审核逻辑残留；确认 chat 和 CLI 没有分叉 severity 映射；仅允许修改 chat 工具桥与直接测试。","已完成","已完成"
"15","定义 ResumeDocument IR 的 block 与约束模型","新建 `src/layout-core/document-ir.ts`，定义 section、block、emphasis、split/keepTogether 等文档层结构；目标是把内容真相层与渲染层彻底解耦。","1) 新增 `src/layout-core/document-ir.ts`；2) IR 至少能表达 section 顺序、block 层级、强调信息、分页约束；3) `npm run build && node --test tests/document-ir.test.mjs` 通过；4) IR 不直接存 HTML 或 UI 组件。","强制 review+rewind：检查 IR 没有掺入 chat/session/runtime 状态；搜索 `data-section`、HTML 字符串拼接逻辑，确认未被错误带入 IR 层；只修改 layout-core 边界与直接测试。","已完成","已完成"
"16","把 jade adapter 改成 canonical model 到 IR","修改 `src/jadeai/adapter.ts`，让 adapter 先把 canonical model 转为 ResumeDocument IR，再从 IR 生成 Jade 所需中间结构；禁止 adapter 继续直接揉业务模型与模板细节。","1) adapter 的第一输出变成 IR 或 IR seed；2) section 标题、顺序、可见性、render_config 约束通过 IR 表达；3) `npm run build && node --test tests/document-ir.test.mjs tests/jadeai-render-config.test.mjs` 通过；4) 对现有 50 模板名不造成用户侧破坏。","强制 review+rewind：搜索 adapter 中直接依赖裸业务字段的模板逻辑，确认影响边界内已下沉到 IR；确认没有同时保留旧直连路径；仅修改 adapter 与直接测试。","已完成","已完成"
"17","建立 50 模板的 TemplateSpec 注册表","新建 `src/template/spec.ts`，把 `src/constants.ts` 的模板清单和样式常量提升为 builtin TemplateSpec registry；每个模板至少声明 TemplateIntent、layout family、section recipes、visual tokens、pagination policy、thumbnail recipe、template overrides。","1) 新增 `src/template/spec.ts` 并能解析全部 50 个模板名；2) `src/constants.ts` 不再只是平铺名单，而是为 registry 提供稳定入口；3) `tests/template-spec.test.mjs` 覆盖 TemplateIntent / thumbnailRecipe / templateOverrides 存在性并通过；4) 任一模板解析失败会显式报错。","强制 review+rewind：搜索模板名解析入口，确认 builtin 模板只有一套注册表；确认没有把 50 个模板重新复制成第二套静态映射；检查 thumbnail recipe / overrides 没有散落到第二套模板协议。","已完成","已完成"
"18","让 custom-template 接入 TemplateSpec","修改 `src/template/custom-template.ts`，使别名解析、导入模板、builtin 模板都先走 TemplateSpec 解析，再决定 builtin/imported 路径；禁止继续让 builtin 和 import 各玩一套模板协议。","1) `resolveTemplate` 先产出统一模板解析结果；2) builtin、alias、imported 三类模板都能落到同一协议；3) `npm run build && node --test tests/template-spec.test.mjs` 通过；4) 导入模板校验失败时显式阻断。","强制 review+rewind：搜索 `TEMPLATE_LIST`、`TEMPLATE_ALIASES`、`imports` 的分支逻辑，确认影响边界内都通过 TemplateSpec 汇合；确认没有保留双协议 fallback。","已完成","已完成"
"19","定义 render tree 单一渲染真相（preview / PDF）","新建 `src/layout-core/render-tree.ts`，定义从 IR + TemplateSpec 生成统一 render tree 的规则；目标是让 preview 与 PDF 共享一个文档结构真相，thumbnail 主链单列补齐。","1) 新增 `src/layout-core/render-tree.ts`；2) render tree 不直接依赖 chat/session；3) 至少能表达标题、正文、侧栏、分组、装饰与分页锚点；4) `npm run build && node --test tests/render-tree.test.mjs` 通过。","强制 review+rewind：检查 render tree 没有塞回 HTML 字符串拼接；搜索 preview / PDF 模板渲染入口，确认没有新增第三套真相层；仅影响 layout-core 和直接测试。","已完成","已完成"
"20","把 jade builders 改成 IR + TemplateSpec + render tree","修改 `src/jadeai/builders.ts`，让导出链从 builder 平铺映射迁移到 `IR + TemplateSpec -> render tree -> html`；保留 50 模板产品面，但删除内部双真相桥接。","1) `src/jadeai/builders.ts` 读取 IR 与 TemplateSpec 生成 HTML；2) 50 模板名仍可导出；3) 深色整页、深色侧栏等 PDF 规则仍能工作；4) `npm run build && node --test tests/jadeai-render-config.test.mjs tests/render-tree.test.mjs` 通过。","强制 review+rewind：搜索 `buildClassicHtml` 等 builder 入口与模板映射，确认影响边界内没有继续引入新平铺映射；确认 dark sidebar/full dark 规则未丢失；确认没有为了兼容保留旧主链。","已完成","已完成"
"21","实现分页约束与求解器核心","新建 `src/layout-core/pagination.ts`，根据 IR、TemplateSpec、页面尺寸和 block 约束计算分页结果；必须显式支持 keepTogether、allowSplit、minLinesAtBottom、minLinesAtTop、splitPriority。","1) 新增分页求解器并返回 page blocks；2) 单页正常、内容超页、双栏跨页都能给出稳定结果；3) 求解器不会静默删内容；4) `npm run build && node --test tests/pagination.test.mjs` 通过。","强制 review+rewind：检查分页器没有偷偷改内容字段；搜索溢出处理路径，确认只有分页结果与决策状态，没有隐式压缩；确认无死循环、无 silent fallback。","已完成","已完成"
"22","把超页决策接入 chat 与导出 gate","修改 `src/chat/agent.ts`、`src/flows/render.ts` 与相关导出门禁，让超页成为显式状态；用户必须在保留多页、切紧凑模板、生成压缩 patch 三者中做选择，系统不能替用户静默决定。","1) overflow 会产出显式事件和待确认决策；2) 多页未确认时不能进入 ready_to_export；3) `npm run build && node --test tests/pagination.test.mjs tests/chat-loop.test.mjs` 通过；4) 导出前 gate 会检查多页确认状态。","强制 review+rewind：搜索 `fit-one-page`、溢出压缩、导出前检查路径，确认影响边界内都走同一 gate；确认没有旧的自动压缩旁路；若发现遗漏必须先修净再结束。","已完成","已完成"
"23","实现模板推荐引擎与推荐理由","新建 `src/template/recommend.ts`，根据内容密度、岗位目标、偏好词、页数目标、ATS 倾向输出 3 个模板候选与理由；目标是让用户先比较结果，不先做设计师。","1) 推荐引擎默认返回 3 个模板候选；2) 每个候选都含推荐理由与风险提示；3) 能读取 canonical model 或 review 结果中的相关信号；4) `npm run build && node --test tests/template-recommend.test.mjs` 通过。","强制 review+rewind：搜索模板推荐入口，确认没有硬编码成单模板或模板海盲选；确认理由生成不捏造不存在的内容信号；仅修改 recommend 边界与直接测试。","已完成","已完成"
"24","接通真实内容预览与 A/B 选择协议","修改 chat/runtime 或预览相关入口，让推荐出的模板基于用户真实内容生成可比较预览，并支持 A/B 选择；禁止只展示空模板缩略图就让用户决策。","1) 模板候选能基于当前内容生成预览结果；2) 至少支持两模板对比与显式选择；3) 模板切换不会破坏 confirmed 内容；4) `npm run build && node --test tests/template-recommend.test.mjs tests/chat-loop.test.mjs` 通过。","强制 review+rewind：检查预览路径不再依赖空样例做最终决策；确认模板切换只改视图层，不改内容事实；搜索直接写模板后的内容重排副作用，确认无残留。","已完成","已完成"
"25","补齐导出 gate 与端到端回归","新增端到端测试，覆盖 parse-first 和 0-1 authoring 两条链路；导出前必须检查未确认事实、review blocker、多页确认、模板选择与 layout result presence；模板与分页稳定性单列补齐；同时更新 smoke/regression 脚本。","1) 新增 `tests/resume-agent-e2e.test.mjs` 覆盖 parse-first 与 0-1 authoring；2) 未确认事实、review blocker、未选模板、缺 layout result、多页未确认时导出都会被阻断；3) `npm run typecheck && npm run build && node --test tests/resume-agent-e2e.test.mjs tests/chat-loop.test.mjs` 通过；4) `npm test` 通过。","强制 review+rewind：检查导出入口、smoke 脚本、chat 回环测试使用同一 gate 口径；确认没有仅在测试里绕过 gate 的特判；用搜索确认旧导出旁路无残留后才能结束。","已完成","已完成"
"26","接通 thumbnail 渲染主链","新增 thumbnail 渲染入口，让 thumbnail 与 preview / PDF 共用同一 `RenderTree + TemplateSpec` 真相；禁止为缩略图再造一套模板映射、section 排序或 token 规则。","1) 新增 thumbnail 渲染入口并读取统一 render inputs；2) 模板切换会同步影响 preview / PDF / thumbnail；3) `node --test tests/template-thumbnail.test.mjs` 覆盖三种渲染入口的 section 可见性与模板 token 一致性；4) 未新增独立 hardcode 模板表。","强制 review+rewind：搜索 thumbnail / preview / PDF 入口，确认共用同一 RenderTree / TemplateSpec；确认没有第四套模板真相；如需新增文件，仅允许落在 template / layout-core 渲染边界。","已完成","已完成"
"27","把模板与分页稳定性纳入导出 gate","补齐导出稳定性合同：模板不仅要已选择，还要已明确确认；分页结果不仅要存在，还要被标记为 stable，模板变化或布局输入变化必须使旧 layout result 失效。","1) `src/export-gate.ts` 会阻断 template 未确认、layout result 不稳定或模板切换后旧 layout 结果失效的导出；2) `tests/resume-agent-e2e.test.mjs` 与 `tests/chat-loop.test.mjs` 覆盖上述失败路径；3) `npm run build && node --test tests/resume-agent-e2e.test.mjs tests/chat-loop.test.mjs` 通过；4) 不允许用 silent fallback 伪造稳定状态。","强制 review+rewind：搜索 export gate、template choose、layout result 失效路径，确认稳定性只有一套合同；确认模板变化会使旧 layout 结果失效；确认没有把“已选择”误当成“已稳定”。","已完成","已完成"
"28","生成全覆盖功能性端到端测试用例文档","基于现有 issues 与设计/实现文档，生成覆盖 parse-first、0-1 authoring、review、模板推荐、分页、导出 gate、thumbnail、artifact 恢复的功能性端到端测试用例文档。","1) 新增并维护 `tests/functional-e2e-test-cases.md`；2) 用例覆盖 parse-first、0-1 authoring、模板/分页稳定性、thumbnail、自定义内容产物；3) 文档可作为后续 QA loop 的测试来源。","强制 review+rewind：确认用例按需求组织，不按实现细节组织；确认没有遗漏用户主链与失败路径；确认编号、覆盖矩阵、验收口径完整。","已完成","已完成"
"29","执行功能性端到端测试并记录问题-修复-复测闭环","执行功能性端到端测试，并把发现的问题、修复动作、复测结果沉淀为 QA loop 文档，形成可恢复的测试闭环。","1) 更新 `tests/e2e-qa-loop.md`；2) 至少记录一轮真实问题、修复与复测；3) 记录全链路测试命令与人工验收结果。","强制 review+rewind：确认记录的是实际执行结果，不是预期；确认问题、修复、复测三段证据闭环完整；确认失败与残余限制未被隐藏。","已完成","已完成"
"30","稳定化所有功能并完成最终导出质量验证","在主链功能打通后，执行全量 typecheck/build/test/导出检查，确认最终产物质量达到可投递标准。","1) 跑通 `npm run typecheck`、`npm run build`、关键 `node --test` 套件与 `npm test`；2) 导出产物存在且非空；3) 最终文档与 QA 记录完成回写。","强制 review+rewind：确认不是仅跑 parser 回归；确认导出产物经过真实检查；确认没有以跳过 gate 或手工 patch 的方式伪造通过。","已完成","已完成"
"31","补齐功能测试用例文档，覆盖 thumbnail / 稳定性 / 自定义内容产物","在初版 E2E 用例文档基础上，补齐 thumbnail 共真相、模板/分页稳定性、自定义内容产物等后续用例。","1) `tests/functional-e2e-test-cases.md` 包含 ISSUE-026/027 与自定义内容相关场景；2) 产物与稳定性口径明确；3) 用例文档与当前代码主链一致。","强制 review+rewind：确认新增用例覆盖的是新功能与新 gate，而不是重复旧场景；确认文档口径不落后于实现。","已完成","已完成"
"32","补齐自定义内容简历的端到端自动化测试并修复暴露的问题","新增自动化回归，验证含自定义 summary / custom section / skills 的简历可以稳定导出 txt/html/docx 与 thumbnail。","1) 新增 `tests/resume-custom-content-e2e.test.mjs`；2) 回归覆盖自定义内容在产物中的保留；3) 相关问题修复后回归通过。","强制 review+rewind：确认测试不再手工 patch export-ready JSON；确认断言覆盖文本、HTML、DOCX 与 thumbnail；确认失败路径修复后有回归。","已完成","已完成"
"33","执行全链路测试-bug-修复-复测循环并生成自定义内容简历产物","围绕“产出一份支持自定义内容的简历”执行测试-bug-修复-复测循环，生成固定目录产物用于人工验收与回归。","1) 生成 `tasks/e2e-custom-output/` 下的 txt/html/docx/pdf/thumbnail/validate/analyze/grammar/export-ready 等产物；2) `node --test tests/*.mjs` 与 `npm test` 通过；3) QA 文档更新。","强制 review+rewind：确认产物真实生成、可读且非空；确认测试循环不是一次性绿灯而是可复现闭环；确认自定义内容未丢失或重复。","已完成","已完成"
"34","打通纯 CLI export-ready 闭环，去掉手工 export-ready 补丁步骤","新增显式 `prepare-export` 命令，让 CLI 闭环从 `parse -> optimize --confirm -> prepare-export -> generate` 直接完成，不再依赖手工 patch export-ready JSON。","1) 新增 `prepare-export` CLI 命令与帮助信息；2) `scripts/smoke.sh` 改走显式闭环；3) `tests/prepare-export-cli.test.mjs` 回归通过。","强制 review+rewind：确认没有把隐式补丁偷偷塞回 `generate`；确认 CLI 契约清晰、产物可直接被 `generate` 消费；确认 smoke 脚本不再手工改 JSON。","已完成","已完成"
"35","补 PDF/视觉截图回归并把截图产物纳入全链路测试输出","为 HTML/PDF 产物补齐 screenshot 回归，并把截图产物纳入 smoke / QA 输出，作为人工视觉审查基线。","1) 新增 `tests/resume-visual-regression.test.mjs`；2) 能稳定生成 HTML screenshot 与 PDF 首屏 PNG；3) `npm run smoke` 与相关回归通过。","强制 review+rewind：确认视觉回归读取真实导出产物，不走 file:// 假链路；确认 PNG 头、尺寸与产物非空都被断言；确认 smoke 与测试口径一致。","已完成","已完成"
"36","实现 0-1 authoring 真入口并汇入 canonical model","把 chat 侧从“只能 parse / optimize 现有模型”补齐到真正支持从用户自然语言口述创建简历草稿，再汇入统一 canonical model 与 patch 流。","1) `src/chat/planner.ts` / `src/chat/tools.ts` 新增 authoring 动作；2) 用户可在无现成 resume 文件时生成 `ResumeDraft`；3) `tests/chat-loop.test.mjs` / `tests/resume-agent-e2e.test.mjs` 增加真实 0-1 authoring 起跑用例并通过；4) 不允许绕过 patch / gate 直接落 confirmed 内容。","强制 review+rewind：确认不是往测试里直接塞 sample model 伪装成 authoring；确认 authoring 与 parse-first 真正汇入同一 canonical model / patch 合同；确认没有新增第二套 authoring-only 数据结构。","已完成","已完成"
"37","打通 patch 接受/拒绝用户入口并接入 controller 事件","把模块级 patch 从“有内部函数”补齐为“用户可显式接受/拒绝”的完整闭环，并把确认动作接到 controller 的 `PATCH_ACCEPTED/PATCH_REJECTED` 事件。","1) slash/CLI/交互层存在明确 patch 接受与拒绝入口；2) 接受后只更新被确认模块，拒绝后保留审计轨迹；3) controller 状态按 patch 确认结果转移；4) 新增回归覆盖用户入口而不只是直接调用 helper。","强制 review+rewind：确认 patch 确认不再只存在于测试 helper；确认 controller 事件被真实消费；确认多 patch 场景不会提前越过 `pending_confirmation`。","已完成","已完成"
"38","收敛 chat 单一状态真相并自动写 stable checkpoints","去掉 `state.status + workflowState` 双轨分裂，收敛为单一 workflow 真相，并在 parse 完成、patch 生成/确认、review 完成、模板确认、分页完成、导出完成处自动写 stable checkpoint。","1) `src/chat/session.ts` / `src/chat/runtime.ts` / `src/chat/agent.ts` 不再并行维护两套主状态；2) stable checkpoint 自动写入并可恢复；3) `tests/chat-persistence.test.mjs` / `tests/chat-loop.test.mjs` 新增自动 checkpoint 断言并通过。","强制 review+rewind：确认 UI 状态与 workflow 状态边界清楚，不保留双真相；确认 checkpoint 不是只在 fixture 里手写；确认恢复逻辑读取的是自动写入的稳定点。","未开始","未开始"
"39","将 paginateDocument 接入 layout 主链并以真实分页结果驱动 export gate","把现有 `paginateDocument` 从“存在但未接主链”收口到 layout 求解主路径，替换仅凭 review finding 推断 `layoutResult` 的 heuristic。","1) `src/layout-core/pagination.ts` 被主 layout 流真实调用；2) `src/flows/render.ts` / chat review / `prepare-export` 的 `layoutResult` 由真实分页结果驱动；3) `tests/pagination.test.mjs`、`tests/chat-loop.test.mjs`、`tests/resume-agent-e2e.test.mjs` 覆盖主链并通过；4) 不允许静默删内容或伪造 stable。","强制 review+rewind：确认分页求解器不是只存在于单测；确认 export gate 读取的是同一份主链 `layoutResult`；确认 overflow 决策与模板切换失效逻辑仍然成立。","未开始","未开始"
"40","完成设计/实施计划回写与架构师复审闭环","在 `36-39` 完成后，回写设计文档、实施计划、QA 文档与 task 状态，完成一次可引用的架构师复审，并把“完全对齐”结论落成事实。","1) `docs/plans` 回写当前真实状态与剩余风险=0；2) 新增或更新架构复审结论为 Approved；3) `issues.csv` 所有任务闭环完成；4) 验证命令与通过证据齐全。","强制 review+rewind：在 `36-39` 没完成前不得把本任务标记已完成；确认架构审核是基于真实代码/测试/文档证据，不得伪造通过；确认 docs、issues、实现三者结论一致。","未开始","未开始"
